"product_id","category_id","name","filename","price","no_stock"
1,1,"ブレンドコーヒー","coffee01_blend.png",150,100
2,1,"アメリカンコーヒー","coffee02_american.png",150,100
3,1,"カフェオレコーヒー","coffee03_cafeole.png",150,100
4,1,"ブレンドブラックコーヒー","coffee04_blend_black.png",150,100
5,1,"カプチーノコーヒー","coffee05_cappuccino.png",150,100
6,3,"カフェラテコーヒー","coffee06_cafelatte.png",150,100
7,3,"マキアートコーヒー","coffee07_cafe_macchiato.png",150,100
8,1,"モカコーヒー","coffee08_cafe_mocha.png",150,100
9,1,"カラメルコーヒー","coffee09_caramel_macchiato.png",150,100
10,2,"アイスコーヒー","coffee10_iced_coffee.png",150,100
11,2,"アイスミルクコーヒー","coffee11_iced_milk_coffee.png",150,100
12,1,"エスプレッソコーヒー","coffee12_espresso.png",150,100
13,4,"レモンティー","tea_lemon.png",100,100
14,4,"ミルクティー","tea_milk.png",100,100
15,4,"ストレイトティー","tea_straight.png",100,100
16,5,"シュガー","cooking_sugar_stick.png",0,
17,6,"ミルクシロップ","sweets_milk_cream.png",0,
